LineCode,StationCode,StationName,SeqNum,DistanceToPrev,Name,StationTogether1,LineCode1,LineCode2,LineCode3,Lat,Lon,queriedLine,isUpperLevel,lines,opening
GR,E06,Fort Totten,17,8348,Fort Totten,B06,GR,YL,,38.951777,-77.002174,GR,0,"Green,Yellow",1993-12-11
GR,E07,West Hyattsville,18,10406,West Hyattsville,,GR,,,38.954931,-76.969881,GR,-1,"Green,Yellow",1993-12-11
GR,E08,Hyattsville Crossing,19,6670,Hyattsville Crossing,,GR,,,38.965276,-76.956182,GR,-1,"Green,Yellow",1993-12-11
GR,E09,College Park-U of Md,20,10368,College Park-U of Md,,GR,,,38.978523,-76.928432,GR,-1,"Green,Yellow",1993-12-11
GR,E10,Greenbelt,21,12981,Greenbelt,,GR,,,39.011036,-76.911362,GR,-1,"Green,Yellow",1993-12-11
OR,D13,New Carrollton,1,,New Carrollton,,OR,,,38.947674,-76.872144,OR,-1,Orange,1978-11-20
OR,D12,Landover,2,7655,Landover,,OR,,,38.934411,-76.890988,OR,-1,Orange,1978-11-20
OR,D11,Cheverly,3,9665,Cheverly,,OR,,,38.91652,-76.915427,OR,-1,Orange,1978-11-20
OR,D10,Deanwood,4,6149,Deanwood,,OR,,,38.907734,-76.936177,OR,-1,Orange,1978-11-20
OR,D09,Minnesota Ave,5,4723,Minnesota Ave,,OR,,,38.898284,-76.948042,OR,-1,Orange,1978-11-20
OR,D08,Stadium-Armory,6,11080,Stadium-Armory,,BL,OR,SV,38.88594,-76.977485,OR,-1,"Blue,Orange,Silver",1977-07-01
OR,D07,Potomac Ave,7,3750,Potomac Ave,,BL,OR,SV,38.880841,-76.985721,OR,-1,"Blue,Orange,Silver",1977-07-01
OR,D06,Eastern Market,8,3289,Eastern Market,,BL,OR,SV,38.884124,-76.995334,OR,-1,"Blue,Orange,Silver",1977-07-01
OR,D05,Capitol South,9,2703,Capitol South,,BL,OR,SV,38.884968,-77.005137,OR,-1,"Blue,Orange,Silver",1977-07-01
OR,D04,Federal Center SW,10,3052,Federal Center SW,,BL,OR,SV,38.884958,-77.01586,OR,-1,"Blue,Orange,Silver",1977-07-01
OR,D03,L'Enfant Plaza,11,1757,L'Enfant Plaza,F03,BL,OR,SV,38.884775,-77.021964,OR,0,"Blue,Orange,Silver",1977-07-01
OR,D02,Smithsonian,12,2643,Smithsonian,,BL,OR,SV,38.888022,-77.028232,OR,-1,"Blue,Orange,Silver",1977-07-01
OR,D01,Federal Triangle,13,2016,Federal Triangle,,BL,OR,SV,38.893757,-77.028218,OR,-1,"Blue,Orange,Silver",1977-07-01
OR,C01,Metro Center,14,1561,Metro Center,A01,BL,OR,SV,38.898303,-77.028099,OR,0,"Blue,Orange,Silver",1977-07-01
OR,C02,McPherson Square,15,2359,McPherson Square,,BL,OR,SV,38.901316,-77.033652,OR,-1,"Blue,Orange,Silver",1977-07-01
OR,C03,Farragut West,16,2001,Farragut West,,BL,OR,SV,38.901311,-77.03981,OR,-1,"Blue,Orange,Silver",1977-07-01
OR,C04,Foggy Bottom-GWU,17,2783,Foggy Bottom-GWU,,BL,OR,SV,38.900599,-77.050273,OR,-1,"Blue,Orange,Silver",1977-07-01
OR,C05,Rosslyn,18,6993,Rosslyn,,BL,OR,SV,38.896595,-77.07146,OR,-1,"Blue,Orange,Silver",1977-07-01
OR,K01,Court House,19,5807,Court House,,OR,SV,,38.891499,-77.08391,OR,-1,"Orange,Silver",1979-12-11
OR,K02,Clarendon,20,2687,Clarendon,,OR,SV,,38.886373,-77.096963,OR,-1,"Orange,Silver",1979-12-11
OR,K03,Virginia Square-GMU,21,2473,Virginia Square-GMU,,OR,SV,,38.88331,-77.104267,OR,-1,"Orange,Silver",1979-12-11
OR,K04,Ballston-MU,22,2980,Ballston-MU,,OR,SV,,38.882071,-77.111845,OR,-1,"Orange,Silver",1979-12-11
OR,K05,East Falls Church,23,13156,East Falls Church,,OR,SV,,38.885841,-77.157177,OR,-1,"Orange,Silver",1986-06-07
OR,K06,West Falls Church,24,10918,West Falls Church,,OR,,,38.90067,-77.189394,OR,-1,Orange,1986-06-07
OR,K07,Dunn Loring-Merrifield,25,12638,Dunn Loring-Merrifield,,OR,,,38.883015,-77.228939,OR,-1,Orange,1986-06-07
OR,K08,Vienna/Fairfax-GMU,26,13165,Vienna/Fairfax-GMU,,OR,,,38.877693,-77.271562,OR,-1,Orange,1986-06-07
RD,B11,Glenmont,1,,Glenmont,,RD,,,39.061713,-77.05341,RD,-1,Red,1998-07-25
RD,B10,Wheaton,2,9334,Wheaton,,RD,,,39.038558,-77.051098,RD,-1,Red,1990-09-22
RD,B09,Forest Glen,3,8484,Forest Glen,,RD,,,39.015413,-77.042953,RD,-1,Red,1990-09-22
RD,B08,Silver Spring,4,8871,Silver Spring,,RD,,,38.993841,-77.031321,RD,-1,Red,1978-02-06
RD,B07,Takoma,5,7484,Takoma,,RD,,,38.975532,-77.017834,RD,-1,Red,1978-02-06
RD,B06,Fort Totten,6,10026,Fort Totten,E06,RD,,,38.951777,-77.002174,RD,1,Red,1978-02-06
RD,B05,Brookland-CUA,7,7378,Brookland-CUA,,RD,,,38.933234,-76.994544,RD,-1,Red,1978-02-06
RD,B04,Rhode Island Ave-Brentwood,8,4553,Rhode Island Ave-Brentwood,,RD,,,38.920741,-76.995984,RD,-1,Red,1976-03-29
RD,B35,NoMa-Gallaudet U,9,5771,NoMa-Gallaudet U,,RD,,,38.907407,-77.002961,RD,-1,Red,2004-11-20
RD,B03,Union Station,10,3548,Union Station,,RD,,,38.897723,-77.006745,RD,-1,Red,1976-03-29
RD,B02,Judiciary Square,11,3446,Judiciary Square,,RD,,,38.896084,-77.016643,RD,-1,Red,1976-03-29
RD,B01,Gallery Pl-Chinatown,12,1967,Gallery Pl-Chinatown,F01,RD,,,38.89834,-77.021851,RD,1,Red,1976-12-15
RD,A01,Metro Center,13,1505,Metro Center,C01,RD,,,38.898303,-77.028099,RD,1,Red,1976-03-29
RD,A02,Farragut North,14,4178,Farragut North,,RD,,,38.903192,-77.039766,RD,-1,Red,1976-03-29
RD,A03,Dupont Circle,15,2487,Dupont Circle,,RD,,,38.909499,-77.04362,RD,-1,Red,1977-01-17
RD,A04,Woodley Park-Zoo/Adams Morgan,16,6304,Woodley Park-Zoo/Adams Morgan,,RD,,,38.924999,-77.052648,RD,-1,Red,1981-12-05
RD,A05,Cleveland Park,17,3740,Cleveland Park,,RD,,,38.934703,-77.058226,RD,-1,Red,1981-12-05
RD,A06,Van Ness-UDC,18,3320,Van Ness-UDC,,RD,,,38.94362,-77.063511,RD,-1,Red,1981-12-05
RD,A07,Tenleytown-AU,19,5841,Tenleytown-AU,,RD,,,38.947808,-77.079615,RD,-1,Red,1984-08-25
RD,A08,Friendship Heights,20,4135,Friendship Heights,,RD,,,38.960744,-77.085969,RD,-1,Red,1984-08-25
RD,A09,Bethesda,21,9095,Bethesda,,RD,,,38.984282,-77.094431,RD,-1,Red,1984-08-25
RD,A10,Medical Center,22,5530,Medical Center,,RD,,,38.999947,-77.097253,RD,-1,Red,1984-08-25
RD,A11,Grosvenor-Strathmore,23,11821,Grosvenor-Strathmore,,RD,,,39.029158,-77.10415,RD,-1,Red,1984-08-25
RD,A12,North Bethesda,24,7309,North Bethesda,,RD,,,39.048043,-77.113131,RD,-1,Red,1984-12-15
RD,A13,Twinbrook,25,5895,Twinbrook,,RD,,,39.062359,-77.121113,RD,-1,Red,1984-12-15
RD,A14,Rockville,26,10586,Rockville,,RD,,,39.084215,-77.146424,RD,-1,Red,1984-12-15
RD,A15,Shady Grove,27,14151,Shady Grove,,RD,,,39.119819,-77.164921,RD,-1,Red,1984-12-15
SV,G05,Downtown Largo,1,,Downtown Largo,,BL,SV,,38.9008,-76.8449,BL,-1,"Blue,Silver",2014-07-26
SV,G04,Morgan Boulevard,2,7256,Morgan Boulevard,,BL,SV,,38.8913,-76.8682,BL,-1,"Blue,Silver",2014-07-26
SV,G03,Addison Road-Seat Pleasant,3,7960,Addison Road-Seat Pleasant,,BL,SV,,38.886713,-76.893592,BL,-1,"Blue,Silver",2014-07-26
SV,G02,Capitol Heights,4,5215,Capitol Heights,,BL,SV,,38.889757,-76.913382,BL,-1,"Blue,Silver",2014-07-26
SV,G01,Benning Road,5,7779,Benning Road,,BL,SV,,38.890488,-76.938291,BL,-1,"Blue,Silver",2014-07-26
SV,D08,Stadium-Armory,6,12162,Stadium-Armory,,BL,OR,SV,38.88594,-76.977485,OR,-1,"Blue,Orange,Silver",2014-07-26
SV,D07,Potomac Ave,7,3750,Potomac Ave,,BL,OR,SV,38.880841,-76.985721,OR,-1,"Blue,Orange,Silver",2014-07-26
SV,D06,Eastern Market,8,3289,Eastern Market,,BL,OR,SV,38.884124,-76.995334,OR,-1,"Blue,Orange,Silver",2014-07-26
SV,D05,Capitol South,9,2703,Capitol South,,BL,OR,SV,38.884968,-77.005137,OR,-1,"Blue,Orange,Silver",2014-07-26
SV,D04,Federal Center SW,10,3052,Federal Center SW,,BL,OR,SV,38.884958,-77.01586,OR,-1,"Blue,Orange,Silver",2014-07-26
SV,D03,L'Enfant Plaza,11,1757,L'Enfant Plaza,F03,BL,OR,SV,38.884775,-77.021964,OR,0,"Blue,Orange,Silver",2014-07-26
SV,D02,Smithsonian,12,2643,Smithsonian,,BL,OR,SV,38.888022,-77.028232,OR,-1,"Blue,Orange,Silver",2014-07-26
SV,D01,Federal Triangle,13,2016,Federal Triangle,,BL,OR,SV,38.893757,-77.028218,OR,-1,"Blue,Orange,Silver",2014-07-26
SV,C01,Metro Center,14,1561,Metro Center,A01,BL,OR,SV,38.898303,-77.028099,OR,0,"Blue,Orange,Silver",2014-07-26
SV,C02,McPherson Square,15,2359,McPherson Square,,BL,OR,SV,38.901316,-77.033652,OR,-1,"Blue,Orange,Silver",2014-07-26
SV,C03,Farragut West,16,2001,Farragut West,,BL,OR,SV,38.901311,-77.03981,OR,-1,"Blue,Orange,Silver",2014-07-26
SV,C04,Foggy Bottom-GWU,17,2783,Foggy Bottom-GWU,,BL,OR,SV,38.900599,-77.050273,OR,-1,"Blue,Orange,Silver",2014-07-26
SV,C05,Rosslyn,18,6993,Rosslyn,,BL,OR,SV,38.896595,-77.07146,OR,-1,"Blue,Orange,Silver",2014-07-26
SV,K01,Court House,19,4936,Court House,,OR,SV,,38.891499,-77.08391,OR,-1,"Orange,Silver",2014-07-26
SV,K02,Clarendon,20,2687,Clarendon,,OR,SV,,38.886373,-77.096963,OR,-1,"Orange,Silver",2014-07-26
SV,K03,Virginia Square-GMU,21,2473,Virginia Square-GMU,,OR,SV,,38.88331,-77.104267,OR,-1,"Orange,Silver",2014-07-26
SV,K04,Ballston-MU,22,2980,Ballston-MU,,OR,SV,,38.882071,-77.111845,OR,-1,"Orange,Silver",2014-07-26
SV,K05,East Falls Church,23,13156,East Falls Church,,OR,SV,,38.885841,-77.157177,OR,-1,"Orange,Silver",2014-07-26
SV,N01,McLean,24,24745,McLean,,SV,,,38.924478,-77.210167,SV,-1,Silver,2014-07-26
SV,N02,Tysons,25,3440,Tysons,,SV,,,38.920056,-77.223314,SV,-1,Silver,2014-07-26
