Code,Name,StationTogether1,StationTogether2,LineCode1,LineCode2,LineCode3,LineCode4,Lat,Lon,queriedLine
E09,College Park-U of Md,,,GR,,,,38.978523,-76.928432,GR
E10,Greenbelt,,,GR,,,,39.011036,-76.911362,GR
F01,Gallery Pl-Chinatown,B01,,GR,YL,,,38.89834,-77.021851,GR
F02,Archives-Navy Memorial-Penn Quarter,,,GR,YL,,,38.893893,-77.021902,GR
F03,L'Enfant Plaza,D03,,GR,YL,,,38.884775,-77.021964,GR
F04,Waterfront,,,GR,,,,38.876221,-77.017491,GR
F05,Navy Yard-Ballpark,,,GR,,,,38.876588,-77.005086,GR
F06,Anacostia,,,GR,,,,38.862072,-76.995648,GR
F07,Congress Heights,,,GR,,,,38.845334,-76.98817,GR
F08,Southern Avenue,,,GR,,,,38.840974,-76.97536,GR
F09,Naylor Road,,,GR,,,,38.851187,-76.956565,GR
F10,Suitland,,,GR,,,,38.843891,-76.932022,GR
F11,Branch Ave,,,GR,,,,38.826995,-76.912134,GR
C07,Pentagon,,,BL,YL,,,38.869349,-77.054013,YL
C08,Pentagon City,,,BL,YL,,,38.863045,-77.059507,YL
C09,Crystal City,,,BL,YL,,,38.85779,-77.050589,YL
C10,Ronald Reagan Washington National Airport,,,BL,YL,,,38.852985,-77.043805,YL
C12,Braddock Road,,,BL,YL,,,38.814009,-77.053763,YL
C13,King St-Old Town,,,BL,YL,,,38.806474,-77.061115,YL
C14,Eisenhower Avenue,,,YL,,,,38.800313,-77.071173,YL
C15,Huntington,,,YL,,,,38.793841,-77.075301,YL
E01,Mt Vernon Sq 7th St-Convention Center,,,GR,YL,,,38.905604,-77.022256,YL
E02,Shaw-Howard U,,,GR,YL,,,38.912919,-77.022194,YL
E03,U Street/African-Amer Civil War Memorial/Cardozo,,,GR,YL,,,38.916489,-77.028938,YL
E04,Columbia Heights,,,GR,YL,,,38.928672,-77.032775,YL
E05,Georgia Ave-Petworth,,,GR,YL,,,38.936077,-77.024728,YL
E06,Fort Totten,B06,,GR,YL,,,38.951777,-77.002174,YL
F01,Gallery Pl-Chinatown,B01,,GR,YL,,,38.89834,-77.021851,YL
F02,Archives-Navy Memorial-Penn Quarter,,,GR,YL,,,38.893893,-77.021902,YL
F03,L'Enfant Plaza,D03,,GR,YL,,,38.884775,-77.021964,YL
C01,Metro Center,A01,,BL,OR,SV,,38.898303,-77.028099,SV
C02,McPherson Square,,,BL,OR,SV,,38.901316,-77.033652,SV
C03,Farragut West,,,BL,OR,SV,,38.901311,-77.03981,SV
C04,Foggy Bottom-GWU,,,BL,OR,SV,,38.900599,-77.050273,SV
C05,Rosslyn,,,BL,OR,SV,,38.896595,-77.07146,SV
D01,Federal Triangle,,,BL,OR,SV,,38.893757,-77.028218,SV
D02,Smithsonian,,,BL,OR,SV,,38.888022,-77.028232,SV
D03,L'Enfant Plaza,F03,,BL,OR,SV,,38.884775,-77.021964,SV
D04,Federal Center SW,,,BL,OR,SV,,38.884958,-77.01586,SV
D05,Capitol South,,,BL,OR,SV,,38.884968,-77.005137,SV
D06,Eastern Market,,,BL,OR,SV,,38.884124,-76.995334,SV
